web-scraper-order,web-scraper-start-url,modelo,pvp,kms,cm3,provincia,anyo
"1527110176-228","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KSR MOTO Classic","1.750 €","N/D km","125 cc","Madrid","2017"
"1527110166-126","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GT 650 R","1.900 €","17.500 km","647 cc","Sevilla","2007"
"1527110192-393","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Agility CITY 125 2017","1.600 €","9.000 km","125 cc","Madrid","2017"
"1527110205-538","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Roadwin 125 FI","1.950 €","1.068 km","124 cc","Pontevedra","2015"
"1527110176-231","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA PCX 125","1.999 €","3.139 km","125 cc","Madrid","2015"
"1527110161-68","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM GTS 125 EVO","1.700 €","11.500 km","125 cc","Barcelona","2011"
"1527110198-435","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X-CITY 250","1.900 €","50.000 km","249 cc","Barcelona","2009"
"1527110184-307","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GT 250R","1.390 €","8.700 km","249 cc","Madrid","2007"
"1527110205-535","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO People 250","1.599 €","26.442 km","250 cc","Valencia","2009"
"1527110163-76","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PIAGGIO Liberty 125 ABS","2.000 €","1.650 km","124 cc","Lleida","2017"
"1527110173-204","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI GSX 750 F","1.700 €","74.214 km","750 cc","Alicante","1990"
"1527110187-345","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Citycom 300i","1.490 €","10.300 km","298 cc","Barcelona","2010"
"1527110176-229","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Vitality 50","650 €","13.367 km","49 cc","Madrid","2007"
"1527110163-90","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA XL 125 Varadero","1.990 €","55.000 km","124 cc","Madrid","2005"
"1527110155-17","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA ATLANTIC 125","1.990 €","9.247 km","124 cc","Valencia","2012"
"1527110158-33","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KEEWAY Superlight 125 LE","1.299 €","13.602 km","125 cc","Madrid","2014"
"1527110163-100","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM S1 125 FI","999 €","40.000 km","125 cc","Barcelona","2012"
"1527110187-339","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KAWASAKI KLX 650","1.550 €","26.398 km","650 cc","Madrid","1994"
"1527110155-13","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI BURGMAN 150","1.350 €","6.275 km","150 cc","Barcelona","2004"
"1527110171-166","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI GSX 600F","1.800 €","59.000 km","599 cc","Toledo","2001"
"1527110200-473","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA SCOOPY SH125i","1.455 €","26.400 km","125 cc","Barcelona","2006"
"1527110155-1","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.900 €","7.500 km","124 cc","Madrid","2016"
"1527110163-95","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Leonardo 125","690 €","10.000 km","125 cc","Barcelona","2000"
"1527110198-452","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GV 250 AQUILA","800 €","7.000 km","249 cc","Murcia","2005"
"1527110158-47","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PEUGEOT SATELIS 125 RS","1.999 €","16.700 km","125 cc","A Coruña","2011"
"1527110178-247","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.800 €","5.195 km","124 cc","Murcia","2017"
"1527110166-112","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","RIEJU BYE BIKE","1.499 €","1 km","49 cc","Zaragoza","2017"
"1527110187-338","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KAWASAKI ZZR 600","1.150 €","47.500 km","600 cc","Madrid","1991"
"1527110168-158","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG RT 125 Karion","1.690 €","6.202 km","124 cc","Cáceres","2005"
"1527110192-400","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 TWO FIFTY","1.600 €","25.625 km","237 cc","Barcelona","1994"
"1527110187-326","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PEUGEOT ELYSEO 150","500 €","6.900 km","150 cc","Vizcaya","2001"
"1527110190-347","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PEUGEOT GEOPOLIS 250 CITY","950 €","31.000 km","244 cc","Valencia","2007"
"1527110176-234","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","BETA ARK 50","550 €","15.225 km","49 cc","Córdoba","2002"
"1527110200-482","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI Marauder 250","1.000 €","36.000 km","249 cc","Asturias","2006"
"1527110173-203","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony S 125 LX","1.999 €","N/D km","124 cc","Madrid","2018"
"1527110161-61","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI Marauder 250","2.000 €","1.511 km","249 cc","Vizcaya","2008"
"1527110198-449","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","VESPA 200 Iris","1.800 €","2.750 km","198 cc","Melilla","1988"
"1527110166-110","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 500","1.850 €","48.000 km","499 cc","Madrid","2002"
"1527110163-83","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.300 €","2.400 km","124 cc","Badajoz","2009"
"1527110205-544","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","MACBOR Shifter MC1","1.900 €","3.500 km","125 cc","Vizcaya","2017"
"1527110181-271","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA TT R 250","1.700 €","20.600 km","249 cc","Barcelona","2001"
"1527110173-207","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125","1.050 €","15.500 km","123 cc","Madrid","2006"
"1527110200-472","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DERBI Senda 50 SM","1.499 €","9.800 km","50 cc","Navarra","2009"
"1527110178-264","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250","1.500 €","40.300 km","250 cc","Guipúzcoa","1991"
"1527110173-206","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 F","1.200 €","26.000 km","250 cc","Valencia","2004"
"1527110190-346","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA DT 50 R","1.900 €","1.000 km","50 cc","Madrid","2008"
"1527110173-191","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CMX Rebel 250","1.795 €","18.256 km","234 cc","Murcia","1999"
"1527110171-181","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HANWAY Raw 125 Cafe Racer","1.700 €","1.045 km","123 cc","Madrid","2017"
"1527110166-117","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.700 €","4.300 km","125 cc","Barcelona","2017"
"1527110181-289","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA @ 125","700 €","27.000 km","124 cc","Granada","2007"
"1527110163-91","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Roadwin 125","1.599 €","4.731 km","124 cc","Sevilla","2007"
"1527110190-373","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI GS 500 E","1.600 €","35.174 km","487 cc","Guadalajara","1998"
"1527110203-493","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GV 125 AQUILA","1.400 €","2.659 km","124 cc","Barcelona","2005"
"1527110200-483","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","BMW F 650","990 €","90.000 km","652 cc","Barcelona","1997"
"1527110161-63","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI BURGMAN 150","1.400 €","29.740 km","150 cc","Vizcaya","2003"
"1527110161-51","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 TWO FIFTY","1.590 €","13.266 km","234 cc","Cáceres","2002"
"1527110168-137","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KEEWAY Logik 125","1.769 €","4.981 km","124 cc","Barcelona","2016"
"1527110198-444","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","GAS GAS Halley R 125","3 €","5.000 km","125 cc","Asturias","2011"
"1527110195-404","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KAWASAKI GPZ 500 S","700 €","48.000 km","500 cc","Asturias","1991"
"1527110203-497","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Mask 125i","1.999 €","N/D km","125 cc","Madrid","2018"
"1527110171-169","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Xciting 500","1.550 €","35.000 km","498 cc","Valencia","2008"
"1527110192-376","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125","1.800 €","1.000 km","124 cc","Barcelona","2015"
"1527110166-124","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA SCOOPY 75","900 €","30.000 km","75 cc","Salamanca","1995"
"1527110205-533","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KSR MOTO SOHO 125","1.899 €","1.957 km","125 cc","Valencia","2017"
"1527110192-391","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA PCX 125","1.999 €","17.442 km","125 cc","Valencia","2014"
"1527110187-342","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO K-XCT 125i","2.000 €","26.700 km","124 cc","Málaga","2016"
"1527110203-511","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","VESPA LX 50 4T","1.500 €","2.600 km","49 cc","Guipúzcoa","2012"
"1527110166-128","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GT 125 Comet","1.400 €","11.500 km","124 cc","Alicante","2004"
"1527110168-141","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Roadwin 125 FI","1.200 €","13.357 km","124 cc","Madrid","2011"
"1527110173-202","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM X-Pro 50","999 €","27.922 km","49 cc","Madrid","2013"
"1527110181-279","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HYOSUNG GT 125 Comet","1.000 €","24.500 km","124 cc","Las Palmas","2005"
"1527110184-302","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250 Special","1.000 €","22.500 km","249 cc","Sevilla","2000"
"1527110190-348","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA @ 125","1.500 €","27.000 km","124 cc","Barcelona","2012"
"1527110190-365","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZF 600 Thundercat","2.000 €","40.000 km","599 cc","Barcelona","2002"
"1527110200-490","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PIAGGIO X8 125","1.350 €","70.000 km","124 cc","Madrid","2006"
"1527110198-443","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA Vision","1.700 €","400 km","108 cc","Madrid","2018"
"1527110203-519","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CBR 1100 XX","1.799 €","70.000 km","1.137 cc","Madrid","1998"
"1527110166-102","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PIAGGIO X8 125","1.400 €","27.600 km","124 cc","Madrid","2007"
"1527110198-450","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Sonic 50","450 €","10.000 km","49 cc","Jaén","2003"
"1527110178-246","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SRX 400","1.999 €","39.000 km","400 cc","Madrid","1988"
"1527110181-288","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Scarabeo 500","970 €","90.000 km","460 cc","Madrid","2003"
"1527110203-498","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA SCOOPY SH125i","1.795 €","53.200 km","125 cc","Barcelona","2005"
"1527110190-370","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","APRILIA Compay 50 Custom","850 €","16.670 km","49 cc","Madrid","2006"
"1527110195-408","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","GILERA R 50","400 €","15.000 km","50 cc","Zaragoza","2008"
"1527110168-160","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DERBI Antorcha 50","700 €","1.983 km","50 cc","Alicante","1970"
"1527110190-359","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","PIAGGIO ZIP 50","450 €","3.200 km","49 cc","Barcelona","2001"
"1527110200-484","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI RMX 50","500 €","10.000 km","50 cc","Madrid","1995"
"1527110158-44","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI GSF 600 Bandit","1.800 €","52.000 km","600 cc","Tarragona","2004"
"1527110168-146","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Daystar 125 FI","1.700 €","22.900 km","124 cc","Madrid","2014"
"1527110200-468","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DERBI BOULEVARD 150","900 €","8.300 km","151 cc","Cantabria","2009"
"1527110203-506","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KAWASAKI ER 5","1.000 €","52.897 km","499 cc","Alicante","1999"
"1527110171-161","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","750 €","24.600 km","248 cc","Málaga","1998"
"1527110178-258","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM S3 125 FI","1.790 €","31.679 km","124 cc","Madrid","2012"
"1527110178-239","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Grand Dink 150","800 €","34.000 km","150 cc","Valencia","2004"
"1527110163-75","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","LML STAR 125 4T Deluxe Automática","1.500 €","5.000 km","125 cc","Vizcaya","2013"
"1527110198-459","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KTM SX 125","1.200 €","2.000 km","124 cc","Zaragoza","1994"
"1527110178-253","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Zing II Darkside 125","995 €","13.000 km","124 cc","Tarragona","2007"
"1527110198-448","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.200 €","26.000 km","249 cc","Guipúzcoa","2006"
"1527110184-312","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","DAELIM Daystar 125","1.200 €","2.200 km","125 cc","Asturias","2005"
"1527110184-297","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SUZUKI DR 600 Djebel","1.499 €","67.000 km","600 cc","Navarra","1990"
"1527110192-390","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA D'elight","1.200 €","16.535 km","114 cc","Murcia","2015"
"1527110198-458","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CBF 125","900 €","53.500 km","125 cc","Málaga","2010"
"1527110178-252","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM HD 125","1.200 €","22.522 km","124 cc","Girona","2005"
"1527110178-245","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KEEWAY Superlight 125","1.650 €","10.559 km","124 cc","Toledo","2016"
"1527110192-385","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 125","1.000 €","50.000 km","125 cc","Pontevedra","2005"
"1527110161-60","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle II 125 S","1.490 €","16.000 km","125 cc","Barcelona","2010"
"1527110173-193","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","MONTESA Cota 315 R","1.500 €","1.200 km","249 cc","Madrid","2000"
"1527110163-101","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA New Pantheon 150","1.199 €","45.400 km","150 cc","Madrid","2004"
"1527110200-476","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","KYMCO Super Dink 125i","1.799 €","14.300 km","125 cc","Navarra","2011"
